"","id","q2","province_id","v82","v83","v2","v84","v111","v110","v109","v101","v123","v130","v73b","v73c","year","wave","time","province","female","age","corhort","marriage","hukouRural","race","party","edu","eduyear","occ","occR_father","occR","trust_gover","trust_local","trust_goverR","trust_localR"
"1",3295,NA,63,2,33,2,1,1,4,15,1,1,10,6,4,2002,1,0,"青海省",1,33,2,1,0,1,0,3,15,1,0,1,6,4,1,0
"2",1508,4401111,13,2,57,2,1,1,1,6,2,1,5,5,5,2002,1,0,"河北省",1,57,3,1,0,1,0,1,6,2,1,1,5,5,1,1
"3",1510,4401111,13,1,39,2,1,3,5,12,2,1,4,5,4,2002,1,0,"河北省",0,39,2,1,0,1,1,4,12,2,1,1,5,4,1,0
"4",1516,4401111,13,1,22,2,1,2,5,15,97,0,1,6,6,2002,1,0,"河北省",0,22,1,0,0,1,0,4,15,97,1,NA,6,6,1,1
"5",1513,4401111,13,2,63,2,1,3,3,12,3,1,11,6,6,2002,1,0,"河北省",1,63,3,1,0,1,1,3,12,3,0,1,6,6,1,1
"6",1514,4401111,13,2,20,2,1,2,5,14,97,0,4,5,5,2002,1,0,"河北省",1,20,1,0,0,1,0,4,14,97,1,NA,5,5,1,1
"7",1515,4401111,13,2,30,2,1,3,6,22,1,1,1,5,4,2002,1,0,"河北省",1,30,2,1,0,1,1,4,22,1,1,1,5,4,1,0
"8",1509,4401111,13,1,18,2,1,2,3,12,97,0,4,5,5,2002,1,0,"河北省",0,18,1,0,0,1,0,3,12,97,1,NA,5,5,1,1
"9",1506,4401111,13,1,82,2,1,1,1,6,2,1,11,6,6,2002,1,0,"河北省",0,82,4,1,0,1,0,1,6,2,0,1,6,6,1,1
"10",1507,4401111,13,2,20,2,1,2,5,14,97,0,4,5,4,2002,1,0,"河北省",1,20,1,0,0,1,0,4,14,97,1,NA,5,4,1,0
"11",1505,4401111,13,1,27,2,1,2,4,20,2,0,4,5,5,2002,1,0,"河北省",0,27,1,0,0,1,0,3,20,2,1,1,5,5,1,1
"12",2145,NA,12,2,35,1,1,1,3,10,97,1,10,6,5,2002,1,0,"天津市",1,35,2,1,1,1,0,3,10,97,0,NA,6,5,1,1
"13",1678,NA,12,2,45,1,1,1,0,0,97,1,10,5,3,2002,1,0,"天津市",1,45,2,1,1,1,0,0,0,97,0,NA,5,3,1,0
"14",2131,NA,12,2,50,1,1,1,0,0,97,1,10,5,5,2002,1,0,"天津市",1,50,3,1,1,1,0,0,0,97,0,NA,5,5,1,1
"15",2133,NA,12,1,75,2,1,1,2,10,1,1,9,6,6,2002,1,0,"天津市",0,75,4,1,0,1,0,2,10,1,0,1,6,6,1,1
"16",3527,11010511,11,2,41,2,1,3,4,10,2,1,4,5,5,2002,1,0,"北京市",1,41,2,1,0,1,1,3,10,2,1,1,5,5,1,1
"17",3554,11010522,11,2,22,2,1,2,5,16,97,0,6,5,5,2002,1,0,"北京市",1,22,1,0,0,1,0,4,16,97,0,NA,5,5,1,1
"18",3556,11010522,11,2,47,2,1,1,2,9,2,1,4,4,4,2002,1,0,"北京市",1,47,2,1,0,1,0,2,9,2,1,1,4,4,0,0
"19",3549,11010522,11,1,46,2,1,1,3,11,2,1,4,6,5,2002,1,0,"北京市",0,46,2,1,0,1,0,3,11,2,1,1,6,5,1,1
"20",3551,11010522,11,1,24,2,11,2,5,13,4,1,5,5,3,2002,1,0,"北京市",0,24,1,1,0,0,0,4,13,4,1,0,5,3,1,0
"21",3553,11010522,11,1,52,2,1,1,2,9,3,1,2,6,5,2002,1,0,"北京市",0,52,3,1,0,1,0,2,9,3,1,1,6,5,1,1
"22",3548,11010522,11,2,62,2,1,3,2,4,2,1,4,5,5,2002,1,0,"北京市",1,62,3,1,0,1,1,2,4,2,1,1,5,5,1,1
"23",3528,11010511,11,2,61,2,1,1,2,8,2,1,10,6,5,2002,1,0,"北京市",1,61,3,1,0,1,0,2,8,2,0,1,6,5,1,1
"24",3502,11011212,11,1,46,2,1,3,3,9,2,1,4,6,4,2002,1,0,"北京市",0,46,2,1,0,1,1,3,9,2,1,1,6,4,1,0
"25",3501,11011212,11,2,43,2,3,3,6,19,2,1,4,6,5,2002,1,0,"北京市",1,43,2,1,0,0,1,4,19,2,1,1,6,5,1,1
"26",3492,11011211,11,2,49,2,1,3,5,13,2,1,5,6,6,2002,1,0,"北京市",1,49,2,1,0,1,1,4,13,2,1,1,6,6,1,1
"27",3491,11011211,11,1,64,2,1,1,1,6,2,1,11,6,5,2002,1,0,"北京市",0,64,3,1,0,1,0,1,6,2,0,1,6,5,1,1
"28",3547,11010521,11,1,68,2,1,1,5,17,1,1,9,4,4,2002,1,0,"北京市",0,68,3,1,0,1,0,4,17,1,0,1,4,4,0,0
"29",3489,11011211,11,2,45,2,1,1,2,11,1,1,4,5,5,2002,1,0,"北京市",1,45,2,1,0,1,0,2,11,1,1,1,5,5,1,1
"30",3519,11011222,11,1,70,2,1,1,0,0,9,0,10,6,5,2002,1,0,"北京市",0,70,4,0,0,1,0,0,0,9,0,0,6,5,1,1
"31",3535,11010512,11,1,34,2,1,3,2,9,2,0,10,4,4,2002,1,0,"北京市",0,34,2,0,0,1,1,2,9,2,0,1,4,4,0,0
"32",3495,11011211,11,1,18,2,1,2,3,12,9,0,11,4,3,2002,1,0,"北京市",0,18,1,0,0,1,0,3,12,9,0,0,4,3,0,0
"33",3508,11011221,11,2,22,1,1,1,2,9,6,0,10,3,3,2002,1,0,"北京市",1,22,1,0,1,1,0,2,9,6,0,0,3,3,0,0
"34",3541,11010521,11,1,43,2,1,2,5,16,5,1,11,6,5,2002,1,0,"北京市",0,43,2,1,0,1,0,4,16,5,0,0,6,5,1,1
"35",3506,11011221,11,1,49,2,1,1,2,9,2,1,4,5,3,2002,1,0,"北京市",0,49,2,1,0,1,0,2,9,2,1,1,5,3,1,0
