"","id","Proid","A1","A2","A3A","A4","SE1","SE1A","SE9","SE17","SE8","SE4","SE3","SE2","E1B","E1H","year","wave","province","time","female","age","corhort","marriage","socialLevel","hukouRural","race","edu","eduyear","party","incomeFam","job","occ","occR","trust_gover","trust_local","trust_goverR","trust_localR"
"1",6232213,62,1,1,64,1,0,4,1,2,5,8,98,1,5,3,2014,1,"甘肃省",1,0,64,3,1,5,1,1,0,4,0,NA,1,98,NA,5,3,1,0
"2",6232212,62,2,9,50,1,4,10,1,2,6,8,98,92,6,3,2014,1,"甘肃省",1,1,50,3,1,6,NA,1,2,10,0,NA,92,98,NA,6,3,1,0
"3",6232211,62,2,1,54,9,3,8,1,2,4,45000,11,92,8,8,2014,1,"甘肃省",1,1,54,3,1,4,1,NA,2,8,0,45000,92,11,0,8,8,NA,NA
"4",6232209,62,2,1,69,1,1,6,1,2,3,15000,99,92,5,5,2014,1,"甘肃省",1,1,69,3,1,3,1,1,1,6,0,15000,92,99,NA,5,5,1,1
"5",6232208,62,2,1,43,1,0,2,1,2,6,8,99,1,6,6,2014,1,"甘肃省",1,1,43,2,1,6,1,1,0,2,0,NA,1,99,NA,6,6,1,1
"6",6232207,62,1,1,26,1,7,16,3,1,6,150000,6,10,5,5,2014,1,"甘肃省",1,0,26,1,0,6,1,1,4,16,1,150000,10,6,1,5,5,1,1
"7",6232206,62,1,1,23,1,3,9,3,3,99,9,10,6,4,5,2014,1,"甘肃省",1,0,23,1,0,NA,1,1,2,9,1,NA,6,10,0,4,5,0,1
"8",6232205,62,1,1,44,1,3,9,1,2,5,9,99,1,6,9,2014,1,"甘肃省",1,0,44,2,1,5,1,1,2,9,0,NA,1,99,NA,6,9,1,NA
"9",6232204,62,2,1,47,1,1,5,1,2,4,8,99,1,4,8,2014,1,"甘肃省",1,1,47,2,1,4,1,1,1,5,0,NA,1,99,NA,4,8,0,NA
"10",6232203,62,2,1,54,1,3,9,1,2,5,6000,11,1,5,4,2014,1,"甘肃省",1,1,54,3,1,5,1,1,2,9,0,6000,1,11,0,5,4,1,0
"11",6232202,62,1,1,53,1,3,7,1,2,4,20000,11,1,6,3,2014,1,"甘肃省",1,0,53,3,1,4,1,1,2,7,0,20000,1,11,0,6,3,1,0
"12",6232115,62,1,1,67,1,1,6,1,2,5,8,11,1,2,2,2014,1,"甘肃省",1,0,67,3,1,5,1,1,1,6,0,NA,1,11,0,2,2,0,0
