"","id","province","A1","A2","A4A","A5","SE1","SE1A","SE11","SE13","SE22","SE5","E4B","E4H","year","wave","time","female","age","corhort","marriage","socialLevel","hukouRural","race","edu","eduyear","party","occ","occR","trust_gover","trust_local","trust_goverR","trust_localR"
"1",1,"上海市",1,1,21,1,6,9,5,1,1,"7",5,4,2019,1,1,0,21,1,0,5,1,1,2,9,0,"7","1",5,4,1,0
"2",2,"上海市",1,1,45,1,7,12,6,1,2,"10",NA,NA,2019,1,1,0,45,2,1,6,1,1,3,12,0,"10","0",NA,NA,NA,NA
"3",3,"上海市",2,1,69,1,1,7,5,1,2,"9",6,6,2019,1,1,1,69,3,1,5,1,1,0,7,0,"9","1",6,6,1,1
"4",4,"上海市",2,2,70,1,4,9,6,1,2,"6",6,4,2019,1,1,1,70,4,1,6,0,1,1,9,0,"6","1",6,4,1,0
"5",5,"上海市",1,2,62,1,6,11,5,1,NA,"2",6,6,2019,1,1,0,62,3,NA,5,0,1,2,11,0,"2","1",6,6,1,1
"6",6,"上海市",2,1,27,1,7,11,7,1,2,NA,4,3,2019,1,1,1,27,1,1,7,1,1,3,11,0,NA,NA,4,3,0,0
"7",7,"上海市",2,2,74,1,2,4,7,1,2,"9",4,4,2019,1,1,1,74,4,1,7,0,1,0,4,0,"9","1",4,4,0,0
"8",8,"上海市",1,2,82,1,0,7,2,1,2,"11",5,6,2019,1,1,0,82,4,1,2,0,1,0,7,0,"11","0",5,6,1,1
"9",9,"上海市",2,3,71,1,5,9,6,1,2,"9",4,4,2019,1,1,1,71,4,1,6,0,1,2,9,0,"9","1",4,4,0,0
"10",10,"上海市",2,1,32,2,6,12,6,2,2,"10",5,5,2019,1,1,1,32,2,1,6,1,0,2,12,0,"10","0",5,5,1,1
"11",11,"上海市",2,2,48,2,3,5,2,1,2,"7",6,5,2019,1,1,1,48,2,1,2,0,0,1,5,0,"7","1",6,5,1,1
"12",12,"上海市",1,2,24,1,9,14,5,1,1,"10",6,6,2019,1,1,0,24,1,0,5,0,1,4,14,0,"10","0",6,6,1,1
"13",13,"上海市",2,3,67,1,0,7,4,1,2,"11",6,5,2019,1,1,1,67,3,1,4,0,1,0,7,0,"11","0",6,5,1,1
"14",14,"上海市",1,3,36,1,4,8,5,1,2,"8",6,4,2019,1,1,0,36,2,1,5,0,1,1,8,0,"8","0",6,4,1,0
"15",15,"上海市",2,1,21,1,6,10,NA,2,1,"9",6,4,2019,1,1,1,21,1,0,NA,1,1,2,10,0,"9","1",6,4,1,0
"16",16,"上海市",2,1,56,1,4,6,5,1,4,"10",6,4,2019,1,1,1,56,3,0,5,1,1,1,6,0,"10","0",6,4,1,0
"17",17,"上海市",1,2,80,1,5,10,5,1,2,"1",6,5,2019,1,1,0,80,4,1,5,0,1,2,10,0,"1","1",6,5,1,1
"18",18,"上海市",1,3,62,1,4,8,NA,1,2,"10",6,5,2019,1,1,0,62,3,1,NA,0,1,1,8,0,"10","0",6,5,1,1
"19",19,"上海市",2,1,56,1,5,8,5,1,2,"6",6,6,2019,1,1,1,56,3,1,5,1,1,2,8,0,"6","1",6,6,1,1
"20",20,"上海市",1,3,50,1,5,9,5,1,1,NA,6,5,2019,1,1,0,50,3,0,5,0,1,2,9,0,NA,NA,6,5,1,1
"21",21,"上海市",1,2,67,1,5,9,7,1,2,"2",6,5,2019,1,1,0,67,3,1,7,0,1,2,9,0,"2","1",6,5,1,1
"22",22,"上海市",2,1,21,1,7,12,1,1,1,"10",4,3,2019,1,1,1,21,1,0,1,1,1,3,12,0,"10","0",4,3,0,0
"23",23,"上海市",2,1,38,1,6,11,3,1,2,"8",6,5,2019,1,1,1,38,2,1,3,1,1,2,11,0,"8","0",6,5,1,1
"24",24,"上海市",2,3,64,1,2,3,2,1,2,"11",5,2,2019,1,1,1,64,3,1,2,0,1,0,3,0,"11","0",5,2,1,0
"25",25,"上海市",1,1,23,1,5,9,5,1,1,NA,5,5,2019,1,1,0,23,1,0,5,1,1,2,9,0,NA,NA,5,5,1,1
"26",26,"上海市",2,2,78,1,7,0,7,3,4,"9",6,4,2019,1,1,1,78,4,0,7,0,1,3,0,1,"9","1",6,4,1,0
"27",27,"上海市",2,1,42,1,0,7,3,1,2,"2",4,3,2019,1,1,1,42,2,1,3,1,1,0,7,0,"2","1",4,3,0,0
"28",28,"上海市",1,1,27,1,9,15,3,2,2,"10",4,4,2019,1,1,0,27,1,1,3,1,1,4,15,0,"10","0",4,4,0,0
"29",29,"上海市",2,2,65,1,8,14,5,3,2,"2",6,4,2019,1,1,1,65,3,1,5,0,1,3,14,1,"2","1",6,4,1,0
"30",30,"上海市",2,2,45,1,9,15,8,3,2,"2",NA,5,2019,1,1,1,45,2,1,8,0,1,4,15,1,"2","1",NA,5,NA,1
"31",31,"上海市",2,2,38,1,6,12,9,1,2,"8",6,4,2019,1,1,1,38,2,1,9,0,1,2,12,0,"8","0",6,4,1,0
"32",32,"上海市",1,1,69,1,3,5,1,1,2,"11",6,4,2019,1,1,0,69,3,1,1,1,1,1,5,0,"11","0",6,4,1,0
"33",33,"上海市",2,2,63,1,3,13,4,1,2,"2",5,4,2019,1,1,1,63,3,1,4,0,1,1,13,0,"2","1",5,4,1,0
"34",34,"上海市",2,2,29,1,8,9,3,1,2,"10",5,5,2019,1,1,1,29,1,1,3,0,1,3,9,0,"10","0",5,5,1,1
"35",35,"上海市",2,1,30,1,5,9,5,1,2,NA,5,4,2019,1,1,1,30,2,1,5,1,1,2,9,0,NA,NA,5,4,1,0
"36",36,"上海市",2,1,33,1,4,8,1,1,2,"11",4,3,2019,1,1,1,33,2,1,1,1,1,1,8,0,"11","0",4,3,0,0
"37",37,"上海市",1,3,60,1,5,9,6,1,2,"2",6,6,2019,1,1,0,60,3,1,6,0,1,2,9,0,"2","1",6,6,1,1
"38",38,"上海市",2,2,68,1,5,9,3,1,6,"11",5,3,2019,1,1,1,68,3,0,3,0,1,2,9,0,"11","0",5,3,1,0
"39",39,"上海市",1,1,58,1,4,9,5,1,2,"8",5,5,2019,1,1,0,58,3,1,5,1,1,1,9,0,"8","0",5,5,1,1
"40",40,"上海市",2,3,74,1,5,9,NA,1,4,"2",6,6,2019,1,1,1,74,4,0,NA,0,1,2,9,0,"2","1",6,6,1,1
"41",41,"上海市",2,2,65,1,4,8,8,1,2,"9",5,3,2019,1,1,1,65,3,1,8,0,1,1,8,0,"9","1",5,3,1,0
"42",42,"上海市",2,2,40,1,9,16,5,1,2,"5",5,5,2019,1,1,1,40,2,1,5,0,1,4,16,0,"5","0",5,5,1,1
"43",43,"上海市",2,2,33,1,9,16,7,1,2,"10",4,3,2019,1,1,1,33,2,1,7,0,1,4,16,0,"10","0",4,3,0,0
"44",44,"上海市",2,2,19,1,9,12,5,2,1,"11",5,3,2019,1,1,1,19,1,0,5,0,1,4,12,0,"11","0",5,3,1,0
"45",45,"上海市",1,2,72,1,9,17,5,1,6,"6",6,6,2019,1,1,0,72,4,0,5,0,1,4,17,0,"6","1",6,6,1,1
"46",46,"上海市",2,1,62,1,2,3,NA,1,4,"3",6,2,2019,1,1,1,62,3,0,NA,1,1,0,3,0,"3","1",6,2,1,0
"47",47,"上海市",2,2,31,1,9,16,NA,3,2,"3",3,4,2019,1,1,1,31,2,1,NA,0,1,4,16,1,"3","1",3,4,0,0
"48",48,"上海市",2,2,32,1,9,15,3,1,1,"2",5,4,2019,1,1,1,32,2,0,3,0,1,4,15,0,"2","1",5,4,1,0
"49",49,"上海市",1,2,72,1,9,15,5,3,2,"3",5,5,2019,1,1,0,72,4,1,5,0,1,4,15,1,"3","1",5,5,1,1
"50",50,"上海市",2,2,60,1,8,10,7,1,2,"10",5,5,2019,1,1,1,60,3,1,7,0,1,3,10,0,"10","0",5,5,1,1
"51",51,"上海市",1,3,70,1,8,9,7,3,2,"2",5,5,2019,1,1,0,70,4,1,7,0,1,3,9,1,"2","1",5,5,1,1
