"","id","s41","a2","a3a","s5","a18","a4","a10","a7a","a8a","a43a","a62","a69","a73","a87","a88","a59j","a59k","d302","d303","year","wave","time","province","rural","female","age","corhort","marriage","socialLevel","hukouRural","race","party","party_parter","edu","incomePer","incomeFam","job","occ","occR","occ_parter","occ_parterR","trust_gover","trust_local","trust_goverR","trust_localR"
"1",1,5e+05,2,1971,1,1,1,4,3,0,5,110000,3,4,5,3,NA,NA,5,5,2010,3,0,"重庆市",0,1,39,2,1,5,1,1,0,0,1,0,110000,NA,NA,NA,3,0,5,5,1,1
"2",2,5e+05,2,1977,1,1,1,4,4,9999997,4,12000,3,4,2,3,NA,NA,4,3,2010,3,0,"重庆市",0,1,33,2,1,4,1,1,0,0,2,NA,12000,NA,NA,NA,3,0,4,3,1,NA
"3",3,5e+05,2,1988,1,2,1,3,10,9999997,4,9999998,1,NA,NA,NA,NA,NA,4,1,2010,3,0,"重庆市",0,1,22,1,0,4,0,1,0,NA,4,NA,NA,NA,NA,NA,NA,NA,4,1,1,0
"4",4,5e+05,2,1948,1,1,1,4,1,0,2,11000,6,NA,NA,NA,NA,NA,5,2,2010,3,0,"重庆市",0,1,62,3,0,2,1,1,0,NA,0,0,11000,NA,NA,NA,NA,NA,5,2,1,0
"5",5,5e+05,1,1952,1,1,1,1,3,3000,1,12000,3,4,NA,NA,2,3,5,5,2010,3,0,"重庆市",0,0,58,3,1,1,1,1,1,0,1,3000,12000,2,3,0,NA,NA,5,5,1,1
"6",6,5e+05,1,1963,1,1,1,4,4,20000,5,9999998,3,4,NA,NA,5,NA,5,2,2010,3,0,"重庆市",0,0,47,2,1,5,1,1,0,0,2,20000,NA,5,NA,0,NA,NA,5,2,1,0
"7",7,5e+05,1,1952,1,1,1,4,3,9999998,5,15000,3,4,NA,NA,NA,NA,5,4,2010,3,0,"重庆市",0,0,58,3,1,5,1,1,0,0,1,NA,15000,NA,NA,NA,NA,NA,5,4,1,1
"8",8,5e+05,1,1969,1,1,1,4,6,8500,4,11000,3,4,NA,NA,5,3,4,2,2010,3,0,"重庆市",0,0,41,2,1,4,1,1,0,0,3,8500,11000,5,3,0,NA,NA,4,2,1,0
"9",9,5e+05,2,1973,1,2,1,4,3,4200,1,4200,4,4,NA,NA,NA,NA,5,3,2010,3,0,"重庆市",0,1,37,2,0,1,0,1,0,0,1,4200,4200,NA,NA,NA,NA,NA,5,3,1,NA
"10",10,5e+05,1,1981,1,2,1,3,6,8500,4,42000,1,NA,NA,NA,5,3,5,3,2010,3,0,"重庆市",0,0,29,1,0,4,0,1,0,NA,3,8500,42000,5,3,0,NA,NA,5,3,1,NA
"11",11,5e+05,1,1934,1,2,1,1,6,18000,6,18000,3,4,NA,NA,NA,NA,5,3,2010,3,0,"重庆市",0,0,76,4,1,6,0,1,1,0,3,18000,18000,NA,NA,NA,NA,NA,5,3,1,NA
"12",12,5e+05,1,1964,1,2,1,3,4,5000,9,17000,3,3,5,3,5,3,5,4,2010,3,0,"重庆市",0,0,46,2,1,9,0,1,0,0,2,5000,17000,5,3,0,3,0,5,4,1,1
"13",13,5e+05,2,1971,1,1,1,4,3,0,5,20000,3,4,5,3,NA,NA,5,2,2010,3,0,"重庆市",0,1,39,2,1,5,1,1,0,0,1,0,20000,NA,NA,NA,3,0,5,2,1,0
"14",14,5e+05,2,1964,1,1,1,4,6,0,4,20700,3,4,NA,NA,NA,NA,5,2,2010,3,0,"重庆市",0,1,46,2,1,4,1,1,0,0,3,0,20700,NA,NA,NA,NA,NA,5,2,1,0
"15",15,5e+05,2,1967,1,1,1,4,3,0,3,9999998,3,4,2,3,NA,NA,5,4,2010,3,0,"重庆市",0,1,43,2,1,3,1,1,0,0,1,0,NA,NA,NA,NA,3,0,5,4,1,1
