"","id","qs2a","RURAL1","qa01","qa02","qa03","qa04","qa06","qa08a","qa10","qb4a","qb4c","qc1_5b","qc1_5d","qc1_5e","qd01","qe05_06","qe05_05","year","wave","time","female","age","corhort","marriage","hukouRural","edu","eduyear","party","party_parter","socialLevel_Per","job","occ","occR","occ_parter","occ_parterR","trust_gover","trus_local","trust_goverR","trus_localR"
"1",2963,21,0,1,50,2,1,4,3,7,7,3,4,7,3,5,4,4,2006,4,0,0,50,3,1,1,2,7,0,0,5,3,7,0,7,0,4,4,1,1
"2",2956,21,0,1,56,3,2,4,3,7,-99.99,-99.99,7,97,97,4,4,3,2006,4,0,0,56,3,0,0,2,7,0,NA,4,-99.99,-99.99,NA,97,NA,4,3,1,1
"3",5396,28,1,1,33,2,1,4,5,10,8,1,4,8,1,3,4,3,2006,4,0,0,33,2,1,1,3,10,0,0,3,1,8,0,8,0,4,3,1,1
"4",924,15,0,2,35,2,2,4,4,11,4,7,4,5,9,3,3,2,2006,4,0,1,35,2,1,0,3,11,0,0,3,7,4,1,5,0,3,2,1,0
"5",1879,19,0,2,50,2,2,4,4,9,-99.99,-99.99,4,7,9,4,4,3,2006,4,0,1,50,3,1,0,3,9,0,0,4,-99.99,-99.99,NA,7,0,4,3,1,1
"6",1877,19,0,1,33,2,2,4,4,11,5,9,4,97,97,3,4,3,2006,4,0,0,33,2,1,0,3,11,0,0,3,9,5,0,97,NA,4,3,1,1
"7",5503,28,0,2,43,2,2,4,5,13,4,8,4,97,97,5,3,5,2006,4,0,1,43,2,1,0,3,13,0,0,5,8,4,1,97,NA,3,5,1,NA
"8",927,15,0,1,61,2,2,2,6,12,5,9,4,98,98,4,4,4,2006,4,0,0,61,3,1,0,3,12,1,0,4,9,5,0,98,NA,4,4,1,1
"9",4393,25,0,1,64,2,2,4,6,14,-99.99,-99.99,4,1,7,3,3,3,2006,4,0,0,64,3,1,0,3,14,0,0,3,-99.99,-99.99,NA,1,1,3,3,1,1
"10",1030,15,1,2,25,2,1,4,4,12,5,9,4,8,1,5,4,4,2006,4,0,1,25,1,1,1,3,12,0,0,5,9,5,0,8,0,4,4,1,1
"11",3769,23,0,1,44,2,2,4,4,10,-99.99,-99.99,4,7,3,5,4,4,2006,4,0,0,44,2,1,0,3,10,0,0,5,-99.99,-99.99,NA,7,0,4,4,1,1
"12",3228,22,0,1,67,2,2,4,6,11,-99.99,-99.99,2,97,97,3,3,3,2006,4,0,0,67,3,1,0,3,11,0,1,3,-99.99,-99.99,NA,97,NA,3,3,1,1
"13",4387,25,0,2,59,2,2,4,6,12,7,9,4,2,8,4,4,4,2006,4,0,1,59,3,1,0,3,12,0,0,4,9,7,0,2,1,4,4,1,1
"14",5517,28,0,2,41,5,2,4,5,12,4,8,7,97,97,4,3,3,2006,4,0,1,41,2,0,0,3,12,0,NA,4,8,4,1,97,NA,3,3,1,1
"15",5499,28,0,2,43,2,2,4,5,12,4,8,4,12,11,5,3,2,2006,4,0,1,43,2,1,0,3,12,0,0,5,8,4,1,12,0,3,2,1,0
"16",5511,28,0,1,34,2,2,4,5,12,-99.99,-99.99,4,97,97,5,3,3,2006,4,0,0,34,2,1,0,3,12,0,0,5,-99.99,-99.99,NA,97,NA,3,3,1,1
"17",397,1,0,1,59,2,2,4,6,12,3,7,4,2,8,3,4,4,2006,4,0,0,59,3,1,0,3,12,0,0,3,7,3,1,2,1,4,4,1,1
"18",1875,19,0,1,41,2,2,4,4,9,7,9,4,97,97,5,3,3,2006,4,0,0,41,2,1,0,3,9,0,0,5,9,7,0,97,NA,3,3,1,1
"19",1863,19,0,1,55,2,2,4,6,12,7,9,4,97,97,4,4,3,2006,4,0,0,55,3,1,0,3,12,0,0,4,9,7,0,97,NA,4,3,1,1
"20",1864,19,0,1,49,2,2,2,4,12,7,9,4,97,97,3,3,2,2006,4,0,0,49,2,1,0,3,12,1,0,3,9,7,0,97,NA,3,2,1,0
"21",1871,19,0,2,44,2,2,4,4,10,10,7,4,97,97,6,4,3,2006,4,0,1,44,2,1,0,3,10,0,0,NA,7,10,1,97,NA,4,3,1,1
"22",1869,19,0,2,36,2,2,4,4,11,-99.99,-99.99,4,98,98,4,3,3,2006,4,0,1,36,2,1,0,3,11,0,0,4,-99.99,-99.99,NA,98,NA,3,3,1,1
"23",1888,19,0,1,69,2,2,4,4,12,-99.99,-99.99,4,97,97,3,4,3,2006,4,0,0,69,3,1,0,3,12,0,0,3,-99.99,-99.99,NA,97,NA,4,3,1,1
"24",1873,19,0,1,42,2,2,4,4,11,7,9,4,97,97,5,4,3,2006,4,0,0,42,2,1,0,3,11,0,0,5,9,7,0,97,NA,4,3,1,1
"25",1862,19,0,1,40,2,2,4,6,14,5,8,4,97,97,3,3,2,2006,4,0,0,40,2,1,0,3,14,0,0,3,8,5,0,97,NA,3,2,1,0
"26",1858,19,0,2,30,3,2,4,4,13,-99.99,-99.99,7,97,97,4,4,3,2006,4,0,1,30,2,0,0,3,13,0,NA,4,-99.99,-99.99,NA,97,NA,4,3,1,1
"27",1876,19,0,1,41,2,2,4,4,9,5,9,4,97,97,5,4,2,2006,4,0,0,41,2,1,0,3,9,0,0,5,9,5,0,97,NA,4,2,1,0
"28",7034,4,0,1,42,2,2,2,7,15,3,7,4,3,7,3,3,3,2006,4,0,0,42,2,1,0,4,15,1,0,3,7,3,1,3,1,3,3,1,1
"29",6408,29,0,2,26,2,2,4,8,16,3,7,4,5,9,3,2,2,2006,4,0,1,26,1,1,0,4,16,0,0,3,7,3,1,5,0,2,2,0,0
"30",6960,4,0,2,38,4,2,2,8,17,1,7,2,7,6,3,3,3,2006,4,0,1,38,2,0,0,4,17,1,1,3,7,1,1,7,0,3,3,1,1
"31",3637,23,0,1,38,2,2,2,7,15,2,8,4,1,7,3,3,2,2006,4,0,0,38,2,1,0,4,15,1,0,3,8,2,1,1,1,3,2,1,0
"32",5131,9,0,2,53,2,2,4,6,9,2,8,2,3,7,3,3,4,2006,4,0,1,53,3,1,0,3,9,0,1,3,8,2,1,3,1,3,4,1,1
"33",6080,3,0,1,35,2,2,2,7,15,1,7,4,2,8,3,3,3,2006,4,0,0,35,2,1,0,4,15,1,0,3,7,1,1,2,1,3,3,1,1
"34",6503,29,0,2,33,2,2,4,6,11,5,6,2,4,8,2,4,3,2006,4,0,1,33,2,1,0,3,11,0,1,2,6,5,0,4,1,4,3,1,1
"35",4498,25,1,2,36,2,1,4,5,12,-99.99,-99.99,4,8,1,2,4,4,2006,4,0,1,36,2,1,1,3,12,0,0,2,-99.99,-99.99,NA,8,0,4,4,1,1
"36",335,1,0,1,34,2,2,4,4,12,4,8,4,12,12,1,4,3,2006,4,0,0,34,2,1,0,3,12,0,0,1,8,4,1,12,0,4,3,1,1
"37",5475,28,0,1,53,2,2,2,8,17,5,9,4,3,7,3,2,2,2006,4,0,0,53,3,1,0,4,17,1,0,3,9,5,0,3,1,2,2,0,0
"38",4957,27,1,1,37,2,1,2,7,15,10,11,4,7,3,2,4,3,2006,4,0,0,37,2,1,1,4,15,1,0,2,11,10,0,7,0,4,3,1,1
"39",5505,28,0,2,38,2,2,4,7,13,10,7,2,97,97,5,4,3,2006,4,0,1,38,2,1,0,4,13,0,1,5,7,10,1,97,NA,4,3,1,1
"40",5472,28,0,2,42,3,2,4,7,16,2,8,7,97,97,3,4,3,2006,4,0,1,42,2,0,0,4,16,0,NA,3,8,2,1,97,NA,4,3,1,1
"41",1153,15,0,1,22,2,1,4,5,12,7,4,4,7,6,3,2,2,2006,4,0,0,22,1,1,1,3,12,0,0,3,4,7,0,7,0,2,2,0,0
"42",6342,12,0,1,33,2,2,4,7,15,7,3,4,7,3,3,4,3,2006,4,0,0,33,2,1,0,4,15,0,0,3,3,7,0,7,0,4,3,1,1
"43",6493,29,1,1,63,5,1,2,2,6,-99.99,-99.99,7,97,97,3,4,4,2006,4,0,0,63,3,0,1,1,6,1,NA,3,-99.99,-99.99,NA,97,NA,4,4,1,1
