"","id","province","RA1c","RA1d","RA1e","RA1f","A2","A3","A4a","C5a","C6a_a","B3a","B4a","D3a","F1a2_1","F1a2_2","F1a2_3","year","wave","time","female","age","corhort","marriage","hukouRural","edu","race","party","incomPer","incomFam","socialLevel","occ","occR","trust_gover","trust_goverR","trust_quxian","trust_xiangzhen"
"1",1,"北京市",1,1998,5,1,1,1,1,25000,50000,NA,NA,4,3,2,2,2017,4,1,0,19,1,0,1,3,1,1,25000,50000,4,NA,NA,3,1,0,0
"2",2,"北京市",1,1998,7,1,1,2,2,0,6500,1,2,5,4,3,3,2017,4,1,0,19,1,0,0,4,1,0,0,6500,5,2,1,4,1,1,1
"3",3,"北京市",1,1999,4,1,1,2,1,0,230000,NA,NA,3,3,3,3,2017,4,1,0,18,1,0,1,3,1,0,0,230000,3,NA,NA,3,1,1,1
"4",4,"北京市",1,1998,4,1,1,4,1,0,72000,NA,NA,3,4,3,3,2017,4,1,0,19,1,0,1,3,1,0,0,72000,3,NA,NA,4,1,1,1
"5",5,"北京市",1,1998,4,1,1,2,1,0,15000,NA,NA,3,3,3,3,2017,4,1,0,19,1,0,1,3,1,0,0,15000,3,NA,NA,3,1,1,1
"6",6,"北京市",1,1999,4,1,1,2,2,0,1e+05,NA,NA,3,3,3,3,2017,4,1,0,18,1,0,0,3,1,0,0,1e+05,3,NA,NA,3,1,1,1
"7",7,"天津市",1,1998,4,1,4,2,1,0,40000,NA,NA,4,3,2,2,2017,4,1,0,19,1,0,1,3,0,0,0,40000,4,NA,NA,3,1,0,0
"8",8,"天津市",1,1998,4,1,1,2,2,0,1e+05,1,5,4,4,3,2,2017,4,1,0,19,1,0,0,3,1,0,0,1e+05,4,5,0,4,1,1,0
"9",9,"天津市",1,1998,2,1,4,4,1,0,1e+05,NA,NA,5,4,2,4,2017,4,1,0,19,1,0,1,1,0,0,0,1e+05,5,NA,NA,4,1,0,1
"10",10,"天津市",1,1998,3,1,3,2,1,NA,82000,NA,NA,4,NA,2,2,2017,4,1,0,19,1,0,1,2,0,0,NA,82000,4,NA,NA,NA,NA,0,0
"11",11,"天津市",1,1999,4,1,1,2,1,0,92000,NA,NA,3,3,3,4,2017,4,1,0,18,1,0,1,3,1,0,0,92000,3,NA,NA,3,1,1,1
"12",12,"天津市",1,1999,7,1,1,2,1,6000,150000,NA,NA,4,3,3,3,2017,4,1,0,18,1,0,1,4,1,0,6000,150000,4,NA,NA,3,1,1,1
"13",13,"天津市",1,1998,8,1,1,4,3,0,50000,NA,NA,2,3,3,3,2017,4,1,0,19,1,0,0,4,1,0,0,50000,2,NA,NA,3,1,1,1
"14",14,"天津市",1,1999,4,1,1,2,1,0,30000,NA,NA,5,3,2,2,2017,4,1,0,18,1,0,1,3,1,0,0,30000,5,NA,NA,3,1,0,0
"15",15,"天津市",1,1999,4,1,1,2,1,0,50000,NA,NA,4,3,3,3,2017,4,1,0,18,1,0,1,3,1,0,0,50000,4,NA,NA,3,1,1,1
"16",16,"天津市",1,1999,4,1,1,2,2,500,3e+05,NA,NA,4,4,4,4,2017,4,1,0,18,1,0,0,3,1,0,500,3e+05,4,NA,NA,4,1,1,1
"17",17,"天津市",1,1999,4,1,1,2,1,NA,150000,NA,NA,3,3,3,3,2017,4,1,0,18,1,0,1,3,1,0,NA,150000,3,NA,NA,3,1,1,1
"18",18,"天津市",1,1998,8,1,1,2,2,NA,90000,NA,NA,3,3,3,3,2017,4,1,0,19,1,0,0,4,1,0,NA,90000,3,NA,NA,3,1,1,1
"19",19,"天津市",1,1999,4,1,1,2,2,0,36000,NA,NA,3,2,2,2,2017,4,1,0,18,1,0,0,3,1,0,0,36000,3,NA,NA,2,0,0,0
"20",20,"天津市",1,1998,4,1,1,4,2,0,NA,NA,NA,4,3,3,3,2017,4,1,0,19,1,0,0,3,1,0,0,NA,4,NA,NA,3,1,1,1
"21",21,"天津市",1,1998,4,1,1,2,3,0,84000,NA,NA,3,4,4,4,2017,4,1,0,19,1,0,0,3,1,0,0,84000,3,NA,NA,4,1,1,1
"22",22,"天津市",1,1998,4,1,1,2,1,750,20000,4,NA,4,4,3,2,2017,4,1,0,19,1,0,1,3,1,0,750,20000,4,NA,0,4,1,1,0
"23",23,"天津市",1,1999,4,1,1,4,3,0,18000,NA,NA,3,3,3,3,2017,4,1,0,18,1,0,0,3,1,0,0,18000,3,NA,NA,3,1,1,1
"24",24,"天津市",1,1998,4,1,1,2,1,NA,16000,NA,NA,4,4,4,3,2017,4,1,0,19,1,0,1,3,1,0,NA,16000,4,NA,NA,4,1,1,1
"25",25,"天津市",1,1999,7,1,1,2,1,0,70000,NA,NA,3,3,3,3,2017,4,1,0,18,1,0,1,4,1,0,0,70000,3,NA,NA,3,1,1,1
"26",26,"天津市",1,1999,4,1,1,2,1,0,60000,NA,NA,4,4,3,2,2017,4,1,0,18,1,0,1,3,1,0,0,60000,4,NA,NA,4,1,1,0
"27",27,"天津市",1,1999,5,1,1,4,1,0,NA,NA,NA,2,3,3,3,2017,4,1,0,18,1,0,1,3,1,0,0,NA,2,NA,NA,3,1,1,1
"28",28,"天津市",1,1998,8,1,1,2,2,0,130000,NA,NA,3,4,3,3,2017,4,1,0,19,1,0,0,4,1,0,0,130000,3,NA,NA,4,1,1,1
"29",29,"天津市",1,1999,5,1,1,2,3,16000,68000,1,7,4,4,4,4,2017,4,1,0,18,1,0,0,3,1,0,16000,68000,4,7,0,4,1,1,1
"30",30,"天津市",1,1999,4,1,8,2,2,0,13,NA,NA,3,4,3,2,2017,4,1,0,18,1,0,0,3,0,0,0,13,3,NA,NA,4,1,1,0
