"","id","a1_1_a","a1b1_a","a1d1","a1e1","a2","a3","a4a","a5a","b3a","b4a","fam_inc","c51a2","c51a3","c51b2","c51b3","c51c2","c51c3","d3a","d3b","d3c","f1a_1","f1a_2","f1a_3","year","wave","time","female","age","corhort","marriage","hukouRural","edu","party","incomFam","socialLevel","occ","occR","occP","occPr","trust_gover","trust_quxian","trust_xiangzhen","trust_goverR","trust_quxianR","trust_xiangzhenR"
"1",3102022,1973,2,8,1,10,4,2,NA,1,6,NA,1,4,1,4,NA,NA,4,4,3,3,3,3,2019,4,1,1,46,2,0,0,4,0,NA,4,6,0,NA,NA,3,3,3,1,1,1
"2",3107007,1997,2,3,2,10,4,1,NA,NA,NA,40000,1,12,1,12,1,12,3,6,2,4,4,3,2019,4,1,1,22,1,1,1,2,0,40000,3,NA,NA,12,0,4,4,3,1,1,1
"3",3102069,1952,2,3,2,10,4,2,NA,NA,NA,84000,NA,NA,NA,NA,NA,NA,4,4,5,3,3,5,2019,4,1,1,67,3,1,0,2,0,84000,4,NA,NA,NA,NA,3,3,5,1,1,NA
"4",3102042,1952,1,3,2,10,4,2,NA,NA,NA,123900,NA,NA,NA,NA,NA,NA,3,3,3,4,4,4,2019,4,1,0,67,3,1,0,2,0,123900,3,NA,NA,NA,NA,4,4,4,1,1,1
"5",3107043,1973,1,3,2,10,4,1,NA,1,6,88000,2,1,2,1,1,4,5,3,5,3,3,2,2019,4,1,0,46,2,1,1,2,0,88000,5,6,0,4,1,3,3,2,1,1,0
"6",3107071,1963,2,2,2,10,4,2,NA,NA,NA,80000,1,5,2,1,1,10,4,4,5,5,1,1,2019,4,1,1,56,3,1,0,1,0,80000,4,NA,NA,10,0,5,1,1,NA,0,0
"7",3107036,1983,1,5,2,10,4,2,NA,1,2,150000,3,7,3,7,1,7,5,5,3,3,3,3,2019,4,1,0,36,2,1,0,3,0,150000,5,2,1,7,0,3,3,3,1,1,1
"8",3107084,2000,1,3,1,10,4,1,NA,2,2,21600,2,1,2,1,NA,NA,5,5,1,3,3,3,2019,4,1,0,19,1,0,1,2,0,21600,5,2,1,NA,NA,3,3,3,1,1,1
"9",3107079,1989,2,4,2,57,4,1,NA,1,6,120000,3,13,3,13,1,7,4,4,4,3,3,3,2019,4,1,1,30,2,1,1,3,0,120000,4,6,0,7,0,3,3,3,1,1,1
"10",3107046,1994,2,3,2,10,4,1,NA,NA,NA,90000,2,1,2,1,1,6,5,4,3,4,5,3,2019,4,1,1,25,1,1,1,2,0,90000,5,NA,NA,6,0,4,5,3,1,NA,1
"11",3102025,1967,1,3,2,10,4,2,NA,1,2,3e+05,1,3,1,3,1,3,3,4,2,4,3,3,2019,4,1,0,52,3,1,0,2,0,3e+05,3,2,1,3,1,4,3,3,1,1,1
"12",3102031,1954,1,2,4,13,1,2,NA,NA,NA,50000,NA,NA,NA,NA,NA,NA,3,4,3,4,2,2,2019,4,1,0,65,3,0,0,1,1,50000,3,NA,NA,NA,NA,4,2,2,1,0,0
"13",3102035,1956,1,4,1,10,4,2,NA,NA,NA,76000,1,3,5,13,NA,NA,2,2,2,4,4,4,2019,4,1,0,63,3,0,0,3,0,76000,2,NA,NA,NA,NA,4,4,4,1,1,1
"14",3102019,1993,1,9,1,10,1,2,NA,1,6,510000,NA,NA,NA,NA,NA,NA,3,5,2,4,4,4,2019,4,1,0,26,1,0,0,4,1,510000,3,6,0,NA,NA,4,4,4,1,1,1
"15",3102070,1992,2,9,1,10,4,2,NA,1,6,553000,NA,NA,NA,NA,NA,NA,3,5,2,3,3,3,2019,4,1,1,27,1,0,0,4,0,553000,3,6,0,NA,NA,3,3,3,1,1,1
"16",3108071,1987,1,8,1,10,4,2,NA,1,5,207600,NA,NA,NA,NA,NA,NA,3,4,3,4,3,3,2019,4,1,0,32,2,0,0,4,0,207600,3,5,0,NA,NA,4,3,3,1,1,1
"17",3108011,1995,1,3,2,10,4,1,NA,1,5,80000,2,1,2,1,3,12,5,5,4,2,2,2,2019,4,1,0,24,1,1,1,2,0,80000,5,5,0,12,0,2,2,2,0,0,0
"18",3107015,1996,1,3,1,10,4,1,NA,1,5,131600,NA,NA,NA,NA,NA,NA,4,4,2,4,4,4,2019,4,1,0,23,1,0,1,2,0,131600,4,5,0,NA,NA,4,4,4,1,1,1
"19",3108068,1980,2,5,2,10,4,2,NA,1,2,1e+05,2,1,2,1,1,6,5,5,5,4,3,3,2019,4,1,1,39,2,1,0,3,0,1e+05,5,2,1,6,0,4,3,3,1,1,1
