"","id","v3_1","v3_2","v3_3","a1b1","a1c1","a1d1","a1e1","a2","a3","a4a","b3","b5a","b11a2","c5a1","d4a","d4b","d4c","f1a_1","f1a_2","f1a_3","year","wave","time","female","age","corhort","marriage","hukouRural","edu","race","party","socialLevel","incomePer","incomeFam","occ","occR","trust_gover","trust_quxian","trust_xiangzhen","trust_goverR","trust_quxianR","trust_xiangzhenR"
"1",2,22,28,102,2,1996,2,2,1,4,1,NA,NA,-8,64000,3,5,3,3,3,3,2021,4,1,1,25,1,1,1,1,1,0,3,NA,64000,NA,NA,3,3,3,1,1,1
"2",3,22,28,102,1,1989,2,2,1,4,1,1,10,6000,26000,5,5,5,4,2,1,2021,4,1,0,32,2,1,1,1,1,0,5,6000,26000,10,0,4,2,1,1,0,0
"3",4,22,28,102,2,1964,2,2,1,4,1,4,NA,-8,16000,3,3,2,1,1,1,2021,4,1,1,57,3,1,1,1,1,0,3,NA,16000,NA,NA,1,1,1,0,0,0
"4",5,22,28,102,1,2000,7,1,1,4,1,2,7,-8,80000,3,4,2,3,3,3,2021,4,1,0,21,1,0,1,4,1,0,3,NA,80000,7,0,3,3,3,1,1,1
"5",6,22,28,102,2,1987,5,1,1,4,1,1,7,36000,40000,4,4,2,3,2,2,2021,4,1,1,34,2,0,1,3,1,0,4,36000,40000,7,0,3,2,2,1,0,0
"6",8,22,28,102,2,1981,3,2,1,4,1,NA,NA,-8,-1,5,3,-1,4,3,3,2021,4,1,1,40,2,1,1,2,1,0,5,NA,NA,NA,NA,4,3,3,1,1,1
"7",9,22,28,102,2,1982,2,2,1,4,1,4,NA,-8,30000,4,4,3,3,3,3,2021,4,1,1,39,2,1,1,1,1,0,4,NA,30000,NA,NA,3,3,3,1,1,1
"8",10,22,28,102,1,1999,4,1,1,2,1,4,NA,30000,30000,4,5,3,3,3,3,2021,4,1,0,22,1,0,1,3,1,0,4,30000,30000,NA,NA,3,3,3,1,1,1
"9",11,22,28,102,1,1979,5,2,1,1,1,3,1,30000,130000,3,3,3,4,4,4,2021,4,1,0,42,2,1,1,3,1,1,3,30000,130000,1,1,4,4,4,1,1,1
"10",12,22,28,102,1,1958,2,2,1,4,1,NA,NA,-8,15000,2,3,2,4,4,3,2021,4,1,0,63,3,1,1,1,1,0,2,NA,15000,NA,NA,4,4,3,1,1,1
"11",13,22,28,102,2,1972,2,2,1,4,1,3,9,1000,21000,4,3,5,3,3,3,2021,4,1,1,49,2,1,1,1,1,0,4,1000,21000,9,0,3,3,3,1,1,1
"12",14,22,17,99,2,1964,2,2,1,4,1,4,NA,-8,20000,5,5,5,3,3,3,2021,4,1,1,57,3,1,1,1,1,0,5,NA,20000,NA,NA,3,3,3,1,1,1
"13",15,22,17,99,2,1966,1,2,1,4,1,4,NA,-8,0,5,5,5,3,3,3,2021,4,1,1,55,3,1,1,0,1,0,5,NA,0,NA,NA,3,3,3,1,1,1
"14",16,22,17,99,2,1956,2,2,1,4,1,4,NA,-8,22000,3,3,2,3,3,3,2021,4,1,1,65,3,1,1,1,1,0,3,NA,22000,NA,NA,3,3,3,1,1,1
"15",18,22,7,106,1,1961,4,2,1,4,1,4,NA,-8,15000,3,5,3,4,3,4,2021,4,1,0,60,3,1,1,3,1,0,3,NA,15000,NA,NA,4,3,4,1,1,1
"16",19,22,17,99,2,1991,3,2,1,4,1,4,NA,96000,90000,4,4,2,4,4,4,2021,4,1,1,30,2,1,1,2,1,0,4,96000,90000,NA,NA,4,4,4,1,1,1
"17",20,22,7,106,2,1961,2,5,1,4,1,4,NA,-8,30300,5,5,5,4,4,4,2021,4,1,1,60,3,0,1,1,1,0,5,NA,30300,NA,NA,4,4,4,1,1,1
"18",21,22,28,102,1,1964,3,2,1,4,1,1,7,35000,52000,3,3,4,4,4,4,2021,4,1,0,57,3,1,1,2,1,0,3,35000,52000,7,0,4,4,4,1,1,1
"19",22,22,7,106,2,1991,1,2,1,4,1,4,NA,-8,10000,5,5,5,2,-1,-1,2021,4,1,1,30,2,1,1,0,1,0,5,NA,10000,NA,NA,2,-1,-1,0,0,0
"20",23,22,7,106,2,1957,2,2,1,4,1,4,NA,-8,10000,3,3,3,4,1,1,2021,4,1,1,64,3,1,1,1,1,0,3,NA,10000,NA,NA,4,1,1,1,0,0
"21",24,22,28,102,2,2002,8,1,1,2,1,NA,NA,-8,-1,2,5,2,3,3,3,2021,4,1,1,19,1,0,1,4,1,0,2,NA,NA,NA,NA,3,3,3,1,1,1
"22",25,22,28,102,2,1967,3,2,1,4,1,4,NA,-8,35000,3,3,5,4,4,4,2021,4,1,1,54,3,1,1,2,1,0,3,NA,35000,NA,NA,4,4,4,1,1,1
"23",26,22,17,99,1,1959,4,2,1,4,1,4,NA,-8,8500,4,5,3,4,4,4,2021,4,1,0,62,3,1,1,3,1,0,4,NA,8500,NA,NA,4,4,4,1,1,1
"24",27,22,17,99,1,1957,2,2,1,4,1,4,NA,-8,12000,1,4,4,4,4,4,2021,4,1,0,64,3,1,1,1,1,0,1,NA,12000,NA,NA,4,4,4,1,1,1
"25",28,22,17,99,1,1970,2,2,1,4,1,4,NA,-8,20000,4,4,-1,3,3,3,2021,4,1,0,51,3,1,1,1,1,0,4,NA,20000,NA,NA,3,3,3,1,1,1
"26",29,22,7,106,2,1974,2,2,1,4,1,4,NA,-8,60000,3,4,3,4,4,4,2021,4,1,1,47,2,1,1,1,1,0,3,NA,60000,NA,NA,4,4,4,1,1,1
"27",30,22,28,102,2,1974,3,2,1,4,1,4,NA,-8,15000,3,3,3,4,4,4,2021,4,1,1,47,2,1,1,2,1,0,3,NA,15000,NA,NA,4,4,4,1,1,1
"28",31,22,28,102,1,1963,4,2,1,4,1,1,7,6000,80000,4,4,3,4,4,4,2021,4,1,0,58,3,1,1,3,1,0,4,6000,80000,7,0,4,4,4,1,1,1
"29",32,22,28,102,2,1974,3,2,1,4,1,3,11,-8,40000,3,3,2,4,4,3,2021,4,1,1,47,2,1,1,2,1,0,3,NA,40000,11,0,4,4,3,1,1,1
"30",34,22,17,99,2,1963,2,2,1,4,1,NA,NA,-8,25000,5,5,5,4,2,1,2021,4,1,1,58,3,1,1,1,1,0,5,NA,25000,NA,NA,4,2,1,1,0,0
"31",35,22,17,99,2,1988,3,2,1,4,1,4,NA,30000,40000,3,3,2,3,3,3,2021,4,1,1,33,2,1,1,2,1,0,3,30000,40000,NA,NA,3,3,3,1,1,1
"32",36,22,17,99,1,1960,3,2,1,1,1,4,NA,-8,30000,4,4,4,4,3,4,2021,4,1,0,61,3,1,1,2,1,1,4,NA,30000,NA,NA,4,3,4,1,1,1
"33",37,22,7,106,1,1973,3,4,3,4,1,4,NA,12000,10000,4,4,3,4,3,3,2021,4,1,0,48,2,0,1,2,0,0,4,12000,10000,NA,NA,4,3,3,1,1,1
"34",38,22,7,106,1,1969,3,2,3,4,1,4,NA,-8,30000,4,4,4,4,4,4,2021,4,1,0,52,3,1,1,2,0,0,4,NA,30000,NA,NA,4,4,4,1,1,1
"35",39,22,17,99,2,1958,2,2,1,4,1,4,NA,-8,20000,5,5,4,4,4,4,2021,4,1,1,63,3,1,1,1,1,0,5,NA,20000,NA,NA,4,4,4,1,1,1
"36",40,22,17,99,2,1973,2,2,1,4,1,4,NA,-8,90000,3,3,4,4,4,4,2021,4,1,1,48,2,1,1,1,1,0,3,NA,90000,NA,NA,4,4,4,1,1,1
"37",41,22,17,99,1,1989,2,1,1,4,1,2,10,20000,95000,3,3,3,4,4,4,2021,4,1,0,32,2,0,1,1,1,0,3,20000,95000,10,0,4,4,4,1,1,1
"38",43,22,17,99,2,1970,2,2,1,4,1,4,NA,5000,22000,4,5,3,4,3,3,2021,4,1,1,51,3,1,1,1,1,0,4,5000,22000,NA,NA,4,3,3,1,1,1
