"","id","PSU","gender","a1","a4","a4a","a5","a8","c15_a","c15b","c15_c","k7","k12","k12a","k13","k3","k5","k26b_a","c6a","c6g","year","wave","time","age","corhort","female","marriage","edu","eduyear","hukouRural","race","party","party_parter","incomeFam","job","occ","occR","trust_gover","trust_local","trust_goverR","trust_localR"
"1",1,131,1,1975,6,3,1,9,0,0,0,1,1,97,8,1,0,5,2,3,2008,2,0,33,2,0,1,2,6,1,NA,0,0,NA,1,0,0,3,2,1,0
"2",2,131,1,1948,6,2,1,9,0,0,0,1,1,97,8,1,0,5,1,4,2008,2,0,60,3,0,1,1,6,1,NA,0,0,NA,1,0,0,4,1,1,0
"3",3,131,1,1961,6,3,1,9,0,1,0,1,1,97,8,1,0,5,1,3,2008,2,0,47,2,0,1,2,6,1,NA,0,0,NA,1,0,0,4,2,1,0
"4",4,131,1,1978,6,2,1,9,0,0,0,1,1,97,10000,1,0,5,1,1,2008,2,0,30,2,0,1,1,6,1,NA,0,0,10000,1,0,0,4,4,1,1
"5",5,131,1,1957,7,3,1,1,0,0,0,1,1,97,8,1,0,5,2,2,2008,2,0,51,3,0,1,2,7,1,1,0,0,NA,1,0,0,3,3,1,1
"6",6,131,2,1968,8,3,1,1,0,0,0,1,1,97,30000,1,0,5,3,4,2008,2,0,40,2,1,1,2,8,1,1,0,0,30000,1,0,0,2,1,0,0
"7",7,131,2,1976,8,3,1,1,0,0,0,1,1,97,8,1,0,5,2,2,2008,2,0,32,2,1,1,2,8,1,1,0,0,NA,1,0,0,3,3,1,1
"8",8,131,2,1973,1,2,1,1,0,0,0,1,5,40000,97,1,0,5,8,8,2008,2,0,35,2,1,1,1,1,1,1,0,0,40000,1,0,0,NA,NA,NA,NA
"9",9,131,2,1967,8,3,1,9,0,0,0,1,1,97,4000,1,0,5,8,8,2008,2,0,41,2,1,1,2,8,1,NA,0,0,4000,1,0,0,NA,NA,NA,NA
"10",10,131,2,1985,8,3,1,9,0,0,0,1,1,97,8,1,0,5,3,3,2008,2,0,23,1,1,1,2,8,1,NA,0,0,NA,1,0,0,2,2,0,0
"11",11,131,1,1965,9,3,1,9,0,0,0,1,1,97,8000,1,0,5,1,2,2008,2,0,43,2,0,1,2,9,1,NA,0,0,8000,1,0,0,4,3,1,1
"12",12,131,2,1969,8,3,1,1,0,3,0,1,5,8,97,1,0,5,2,9,2008,2,0,39,2,1,1,2,8,1,1,0,0,NA,1,0,0,3,NA,1,NA
"13",13,131,2,1967,6,2,1,1,0,0,0,1,1,97,8,1,0,5,1,1,2008,2,0,41,2,1,1,1,6,1,1,0,0,NA,1,0,0,4,4,1,1
"14",14,131,1,1982,9,3,1,9,0,1,0,1,1,97,20000,1,0,5,8,3,2008,2,0,26,1,0,1,2,9,1,NA,0,0,20000,1,0,0,NA,2,NA,0
"15",15,131,1,1953,6,3,1,9,0,0,0,1,1,97,8,1,0,5,1,3,2008,2,0,55,3,0,1,2,6,1,NA,0,0,NA,1,0,0,4,2,1,0
"16",16,131,2,1972,6,2,1,9,0,0,0,1,1,97,7000,1,0,5,1,2,2008,2,0,36,2,1,1,1,6,1,NA,0,0,7000,1,0,0,4,3,1,1
"17",17,131,2,1978,6,2,1,1,0,0,0,1,1,97,8,1,0,5,1,8,2008,2,0,30,2,1,1,1,6,1,1,0,0,NA,1,0,0,4,NA,1,NA
"18",18,131,1,1948,5,2,1,9,0,0,0,1,1,97,9,0,0,5,1,1,2008,2,0,60,3,0,1,1,5,1,NA,0,0,NA,0,0,0,4,4,1,1
"19",19,131,2,1984,9,3,1,9,9,3,9,1,5,20000,97,3,8,5,1,3,2008,2,0,24,1,1,1,2,9,1,NA,NA,0,20000,3,8,0,4,2,1,0
"20",20,131,2,1979,9,3,1,9,0,0,0,1,5,20000,97,0,0,5,2,3,2008,2,0,29,1,1,1,2,9,1,NA,0,0,20000,0,0,0,3,2,1,0
"21",21,131,1,1946,12,5,5,9,0,3,0,1,1,97,30000,10,6,5,1,2,2008,2,0,62,3,0,1,3,12,0,NA,0,0,30000,10,6,1,4,3,1,1
"22",22,131,1,1959,12,4,1,9,0,0,0,1,5,20000,97,3,8,5,2,3,2008,2,0,49,2,0,1,3,12,1,NA,0,0,20000,3,8,0,3,2,1,0
"23",23,131,1,1971,8,3,1,1,0,0,0,1,5,10000,97,3,8,5,3,8,2008,2,0,37,2,0,1,2,8,1,1,0,0,10000,3,8,0,2,NA,0,NA
"24",24,131,1,1978,11,5,1,9,0,0,0,1,5,40000,97,3,8,5,1,3,2008,2,0,30,2,0,1,3,11,1,NA,0,0,40000,3,8,0,4,2,1,0
"25",25,131,1,1961,9,4,1,9,1,1,0,1,1,97,10000,1,0,5,1,2,2008,2,0,47,2,0,1,3,9,1,NA,1,0,10000,1,0,0,4,3,1,1
"26",26,131,1,1980,9,3,1,9,0,3,0,1,5,30000,97,3,8,5,1,8,2008,2,0,28,1,0,1,2,9,1,NA,0,0,30000,3,8,0,4,NA,1,NA
"27",27,131,2,1963,4,1,1,9,0,0,0,1,1,97,10000,3,8,5,1,1,2008,2,0,45,2,1,1,0,4,1,NA,0,0,10000,3,8,0,4,4,1,1
"28",28,131,2,1968,8,3,1,1,0,0,0,1,5,9,97,3,8,5,2,2,2008,2,0,40,2,1,1,2,8,1,1,0,0,NA,3,8,0,3,3,1,1
"29",29,131,1,1966,8,3,1,1,0,0,0,1,5,9,97,1,0,5,2,8,2008,2,0,42,2,0,1,2,8,1,1,0,0,NA,1,0,0,3,NA,1,NA
"30",30,131,1,1972,9,3,1,1,0,0,0,1,5,20000,97,1,0,5,1,4,2008,2,0,36,2,0,1,2,9,1,1,0,0,20000,1,0,0,4,1,1,0
"31",31,131,2,1985,11,4,1,9,0,1,0,1,1,97,2000,0,0,5,2,2,2008,2,0,23,1,1,1,3,11,1,NA,0,0,2000,0,0,0,3,3,1,1
