"","id","PSU","gender","a1","a4","a4a","a5","a8","c15_a","c15_b","c15_c","k12","k7","k12a","k13","k3","k5","k26b_a","c6a","c6g","year","wave","province","time","age","corhort","female","marriage","edu","eduyear","hukouRural","race","party","party_parter","incomeFam","occ","job","occR","trust_gover","trust_local","trust_goverR","trust_localR"
"1",1,131,1,1945,2,1,1,1,97,997,997,1,4,NA,4000,1,997,7,1,1,2009,2,"河北省",0,64,3,0,0,0,2,1,1,0,NA,4000,997,1,0,4,4,1,1
"2",2,131,1,1965,5,2,1,1,97,997,997,1,1,NA,5000,1,997,5,2,2,2009,2,"河北省",0,44,2,0,1,1,5,1,1,0,0,5000,997,1,0,3,3,1,1
"3",3,131,1,1977,9,3,1,1,97,997,997,1,1,NA,4000,1,997,5,1,1,2009,2,"河北省",0,32,2,0,1,2,9,1,1,0,0,4000,997,1,0,4,4,1,1
"4",4,131,1,1957,9,4,1,1,5,3,5,1,1,NA,10000,1,997,5,2,2,2009,2,"河北省",0,52,3,0,1,3,9,1,1,0,0,10000,997,1,0,3,3,1,1
"5",5,131,2,1969,5,1,1,1,97,997,997,1,1,NA,20000,1,997,5,1,8,2009,2,"河北省",0,40,2,1,1,0,5,1,1,0,0,20000,997,1,0,4,-3,1,NA
"6",6,131,2,1991,9,3,1,1,97,997,997,5,5,20000,NA,1,997,7,2,2,2009,2,"河北省",0,18,1,1,0,2,9,1,1,0,NA,20000,997,1,0,3,3,1,1
"7",7,131,2,1969,9,3,1,1,97,997,997,1,1,NA,5000,1,997,5,1,8,2009,2,"河北省",0,40,2,1,1,2,9,1,1,0,0,5000,997,1,0,4,-3,1,NA
"8",8,131,2,1959,99,4,1,1,5,3,5,1,1,NA,7000,1,997,5,2,2,2009,2,"河北省",0,50,3,1,1,3,99,1,1,0,0,7000,997,1,0,3,3,1,1
"9",9,131,2,1985,13,6,5,1,5,1,5,1,5,NA,8,997,997,7,1,2,2009,2,"河北省",0,24,1,1,0,4,13,0,1,0,NA,NA,997,997,0,4,3,1,1
"10",10,131,1,1965,9,3,1,1,97,997,997,1,1,NA,10000,1,997,5,1,1,2009,2,"河北省",0,44,2,0,1,2,9,1,1,0,0,10000,997,1,0,4,4,1,1
"11",11,131,1,1968,9,3,1,1,97,997,997,1,1,NA,8000,1,997,5,2,2,2009,2,"河北省",0,41,2,0,1,2,9,1,1,0,0,8000,997,1,0,3,3,1,1
"12",12,131,1,1982,9,3,1,1,5,3,5,1,1,NA,10000,1,997,5,1,1,2009,2,"河北省",0,27,1,0,1,2,9,1,1,0,0,10000,997,1,0,4,4,1,1
"13",13,131,1,1980,9,3,1,1,97,997,997,1,1,NA,10000,1,997,5,2,2,2009,2,"河北省",0,29,1,0,1,2,9,1,1,0,0,10000,997,1,0,3,3,1,1
"14",14,131,2,1972,6,2,1,1,97,997,997,1,1,NA,8000,1,997,5,1,2,2009,2,"河北省",0,37,2,1,1,1,6,1,1,0,0,8000,997,1,0,4,3,1,1
"15",15,131,2,1950,0,1,1,1,97,997,997,1,1,NA,8,1,997,5,1,1,2009,2,"河北省",0,59,3,1,1,0,0,1,1,0,0,NA,997,1,0,4,4,1,1
"16",16,131,2,1979,9,3,1,1,97,997,997,5,1,12000,NA,1,997,5,1,1,2009,2,"河北省",0,30,2,1,1,2,9,1,1,0,0,12000,997,1,0,4,4,1,1
"17",17,131,1,1946,99,5,1,1,97,997,997,5,1,23000,NA,9,6,5,2,2,2009,2,"河北省",0,63,3,0,1,3,99,1,1,0,0,23000,6,9,1,3,3,1,1
"18",18,131,1,1963,10,4,1,1,5,3,5,5,1,12000,NA,1,997,5,1,8,2009,2,"河北省",0,46,2,0,1,3,10,1,1,0,0,12000,997,1,0,4,-3,1,NA
"19",19,131,1,1971,9,3,1,1,97,997,997,5,1,25000,NA,3,8,5,1,8,2009,2,"河北省",0,38,2,0,1,2,9,1,1,0,0,25000,8,3,0,4,-3,1,NA
"20",20,131,1,1984,9,3,1,1,97,997,997,5,1,30000,NA,3,8,5,2,3,2009,2,"河北省",0,25,1,0,1,2,9,1,1,0,0,30000,8,3,0,3,2,1,0
"21",21,131,2,1962,9,3,1,1,97,997,997,5,1,22000,NA,3,8,5,2,2,2009,2,"河北省",0,47,2,1,1,2,9,1,1,0,0,22000,8,3,0,3,3,1,1
"22",22,131,2,1967,9,3,1,1,97,997,997,5,1,13000,NA,3,8,5,1,1,2009,2,"河北省",0,42,2,1,1,2,9,1,1,0,0,13000,8,3,0,4,4,1,1
"23",23,131,2,1967,13,5,5,1,97,997,997,5,1,20000,NA,3,8,5,2,2,2009,2,"河北省",0,42,2,1,1,3,13,0,1,0,0,20000,8,3,0,3,3,1,1
"24",24,131,1,1990,9,3,1,1,97,997,997,5,5,30000,NA,2,8,7,1,1,2009,2,"河北省",0,19,1,0,0,2,9,1,1,0,NA,30000,8,2,0,4,4,1,1
"25",25,131,1,1964,9,3,1,1,97,997,997,1,1,NA,0,1,997,5,1,3,2009,2,"河北省",0,45,2,0,1,2,9,1,1,0,0,0,997,1,0,4,2,1,0
"26",26,131,1,1982,15,6,5,1,5,3,5,5,1,10000,NA,3,8,5,1,1,2009,2,"河北省",0,27,1,0,1,4,15,0,1,0,0,10000,8,3,0,4,4,1,1
"27",27,131,1,1972,9,3,1,1,97,997,997,5,1,20000,NA,3,8,5,1,2,2009,2,"河北省",0,37,2,0,1,2,9,1,1,0,0,20000,8,3,0,4,3,1,1
"28",28,131,2,1979,5,2,1,1,97,997,997,1,1,NA,10000,1,997,5,2,2,2009,2,"河北省",0,30,2,1,1,1,5,1,1,0,0,10000,997,1,0,3,3,1,1
"29",29,131,1,1979,6,2,1,1,97,997,997,1,1,NA,10000,1,997,5,2,8,2009,2,"河北省",0,30,2,0,1,1,6,1,1,0,0,10000,997,1,0,3,-3,1,NA
"30",30,131,1,1948,5,3,1,1,1,5,5,1,1,NA,24000,3,8,5,1,1,2009,2,"河北省",0,61,3,0,1,2,5,1,1,1,0,24000,8,3,0,4,4,1,1
"31",31,131,1,1977,9,3,1,1,5,3,5,1,1,NA,3000,1,997,5,1,1,2009,2,"河北省",0,32,2,0,1,2,9,1,1,0,0,3000,997,1,0,4,4,1,1
"32",32,131,1,1984,9,3,1,1,97,997,997,1,1,NA,10000,1,997,5,2,2,2009,2,"河北省",0,25,1,0,1,2,9,1,1,0,0,10000,997,1,0,3,3,1,1
"33",33,131,2,1954,2,1,1,1,97,997,997,1,4,NA,3000,1,997,7,1,8,2009,2,"河北省",0,55,3,1,0,0,2,1,1,0,NA,3000,997,1,0,4,-3,1,NA
"34",34,131,1,1941,3,1,1,1,97,997,997,5,5,2500,NA,1,997,7,1,1,2009,2,"河北省",0,68,3,0,0,0,3,1,1,0,NA,2500,997,1,0,4,4,1,1
"35",35,131,2,1957,9,3,1,1,97,997,997,1,1,NA,20000,1,997,5,1,2,2009,2,"河北省",0,52,3,1,1,2,9,1,1,0,0,20000,997,1,0,4,3,1,1
"36",36,131,1,1956,9,3,1,1,5,3,5,1,1,NA,5000,1,997,5,1,2,2009,2,"河北省",0,53,3,0,1,2,9,1,1,0,0,5000,997,1,0,4,3,1,1
"37",37,131,1,1974,9,3,1,1,97,997,997,5,1,14000,NA,1,997,5,1,8,2009,2,"河北省",0,35,2,0,1,2,9,1,1,0,0,14000,997,1,0,4,-3,1,NA
"38",38,131,1,1975,99,3,1,9,5,3,5,1,1,NA,10000,1,997,5,2,2,2009,2,"河北省",0,34,2,0,1,2,99,1,NA,0,0,10000,997,1,0,3,3,1,1
"39",39,131,1,1965,2,1,1,1,97,997,997,1,1,NA,10000,1,997,5,2,2,2009,2,"河北省",0,44,2,0,1,0,2,1,1,0,0,10000,997,1,0,3,3,1,1
"40",40,131,2,1957,0,1,1,1,97,997,997,1,1,NA,15000,1,997,5,1,1,2009,2,"河北省",0,52,3,1,1,0,0,1,1,0,0,15000,997,1,0,4,4,1,1
"41",41,131,2,1957,2,1,1,1,97,997,997,1,1,NA,15000,1,997,5,2,2,2009,2,"河北省",0,52,3,1,1,0,2,1,1,0,0,15000,997,1,0,3,3,1,1
"42",42,131,1,1977,9,3,1,1,97,997,997,1,1,NA,10000,1,997,5,1,1,2009,2,"河北省",0,32,2,0,1,2,9,1,1,0,0,10000,997,1,0,4,4,1,1
"43",43,131,1,1969,9,3,1,1,97,997,997,1,1,NA,8000,1,997,5,1,1,2009,2,"河北省",0,40,2,0,1,2,9,1,1,0,0,8000,997,1,0,4,4,1,1
"44",44,131,2,1971,7,3,1,1,97,997,997,5,1,15000,NA,10,9,5,2,8,2009,2,"河北省",0,38,2,1,1,2,7,1,1,0,0,15000,9,10,1,3,-3,1,NA
"45",45,131,2,1952,4,2,1,1,97,997,997,5,1,8,NA,997,997,5,2,2,2009,2,"河北省",0,57,3,1,1,1,4,1,1,0,0,NA,997,997,0,3,3,1,1
"46",46,131,2,1981,9,3,1,1,5,3,5,1,1,NA,9000,997,997,5,1,1,2009,2,"河北省",0,28,1,1,1,2,9,1,1,0,0,9000,997,997,0,4,4,1,1
"47",47,131,1,1945,1,1,1,1,1,5,5,1,1,NA,2000,1,997,5,1,1,2009,2,"河北省",0,64,3,0,1,0,1,1,1,1,0,2000,997,1,0,4,4,1,1
"48",48,131,2,1966,9,3,5,1,97,997,997,1,1,NA,10000,1,997,5,1,1,2009,2,"河北省",0,43,2,1,1,2,9,0,1,0,0,10000,997,1,0,4,4,1,1
"49",49,131,1,1985,9,3,1,1,97,997,997,5,1,7000,NA,1,997,5,1,1,2009,2,"河北省",0,24,1,0,1,2,9,1,1,0,0,7000,997,1,0,4,4,1,1
"50",50,131,1,1965,7,3,1,1,5,3,5,5,1,40000,NA,3,8,5,2,2,2009,2,"河北省",0,44,2,0,1,2,7,1,1,0,0,40000,8,3,0,3,3,1,1
"51",51,131,2,1956,0,1,1,1,97,997,997,1,1,NA,10000,997,997,5,2,2,2009,2,"河北省",0,53,3,1,1,0,0,1,1,0,0,10000,997,997,0,3,3,1,1
"52",52,131,2,1944,0,1,1,1,5,3,5,1,1,NA,8,997,997,1,8,8,2009,2,"河北省",0,65,3,1,1,0,0,1,1,0,1,NA,997,997,0,-3,-3,NA,NA
"53",53,131,2,1968,5,3,1,1,97,997,997,5,1,12000,NA,5,10,5,2,2,2009,2,"河北省",0,41,2,1,1,2,5,1,1,0,0,12000,10,5,0,3,3,1,1
"54",54,131,2,1981,9,3,5,1,97,997,997,1,1,NA,20000,1,997,5,1,1,2009,2,"河北省",0,28,1,1,1,2,9,0,1,0,0,20000,997,1,0,4,4,1,1
"55",55,131,2,1955,0,1,1,1,97,997,997,1,1,NA,4000,1,997,5,1,1,2009,2,"河北省",0,54,3,1,1,0,0,1,1,0,0,4000,997,1,0,4,4,1,1
"56",56,132,1,1969,7,2,1,1,97,997,997,5,1,14000,NA,5,8,5,1,1,2009,2,"河北省",0,40,2,0,1,1,7,1,1,0,0,14000,8,5,0,4,4,1,1
"57",57,132,1,1957,99,2,1,1,97,997,997,1,1,NA,10000,1,997,5,2,3,2009,2,"河北省",0,52,3,0,1,1,99,1,1,0,0,10000,997,1,0,3,2,1,0
"58",58,132,1,1969,6,2,1,1,97,997,997,5,1,25000,NA,997,997,5,8,2,2009,2,"河北省",0,40,2,0,1,1,6,1,1,0,0,25000,997,997,0,-3,3,NA,1
"59",59,132,2,1965,5,1,1,1,97,997,997,5,1,9,NA,5,8,5,8,2,2009,2,"河北省",0,44,2,1,1,0,5,1,1,0,0,NA,8,5,0,-3,3,NA,1
"60",60,132,1,1984,9,3,1,1,5,1,5,5,1,9,NA,77,8,5,2,2,2009,2,"河北省",0,25,1,0,1,2,9,1,1,0,0,NA,8,77,0,3,3,1,1
"61",61,132,2,1989,11,4,1,1,5,1,5,5,5,6000,NA,77,77,9,2,1,2009,2,"河北省",0,20,1,1,0,3,11,1,1,0,NA,6000,77,77,NA,3,4,1,1
"62",62,132,1,1991,9,4,1,1,5,1,5,5,5,8,NA,10,10,7,2,2,2009,2,"河北省",0,18,1,0,0,3,9,1,1,0,NA,NA,10,10,0,3,3,1,1
"63",63,132,2,1944,2,1,1,1,1,5,5,1,1,NA,4000,1,997,5,1,3,2009,2,"河北省",0,65,3,1,1,0,2,1,1,1,0,4000,997,1,0,4,2,1,0
"64",64,132,2,1981,12,5,1,1,5,3,5,5,1,25000,NA,997,997,5,2,2,2009,2,"河北省",0,28,1,1,1,3,12,1,1,0,0,25000,997,997,0,3,3,1,1
"65",65,132,2,1975,9,3,1,7,97,997,997,1,1,NA,10000,1,997,5,8,2,2009,2,"河北省",0,34,2,1,1,2,9,1,0,0,0,10000,997,1,0,-3,3,NA,1
